BXP,Boston Properties,Real Estate,cap,Country,IPO,Year,Sector,Industry
BSX,Boston Scientific,Health Care,cap,Country,IPO,Year,Sector,Industry
BMY,Bristol Myers Squibb,Health Care,cap,Country,IPO,Year,Sector,Industry
AVGO,Broadcom,Information Technology,cap,Country,IPO,Year,Sector,Industry
BR,Broadridge,Information Technology,cap,Country,IPO,Year,Sector,Industry
BRO,Brown & Brown,Financials,cap,Country,IPO,Year,Sector,Industry
BF.B,Brown–Forman,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CHRW,C.H. Robinson,Industrials,cap,Country,IPO,Year,Sector,Industry
CDNS,Cadence,Information Technology,cap,Country,IPO,Year,Sector,Industry
CZR,Caesars Entertainment,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
CPT,Camden,Real Estate,cap,Country,IPO,Year,Sector,Industry
CPB,Campbell's,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
COF,Capital One,Financials,cap,Country,IPO,Year,Sector,Industry
CAH,Cardinal Health,Health Care,cap,Country,IPO,Year,Sector,Industry
KMX,CarMax,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
CCL,Carnival,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
CARR,Carrier,Industrials,cap,Country,IPO,Year,Sector,Industry
CTLT,Catalent,Health Care,cap,Country,IPO,Year,Sector,Industry
CAT,Caterpillar,Industrials,cap,Country,IPO,Year,Sector,Industry
CBOE,Cboe,Financials,cap,Country,IPO,Year,Sector,Industry
CBRE,CBRE,Real Estate,cap,Country,IPO,Year,Sector,Industry
CDW,CDW,Information Technology,cap,Country,IPO,Year,Sector,Industry
CE,Celanese,Materials,cap,Country,IPO,Year,Sector,Industry
CNC,Centene,Health Care,cap,Country,IPO,Year,Sector,Industry
CNP,CenterPoint Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
CDAY,Ceridian,Information Technology,cap,Country,IPO,Year,Sector,Industry
CF,CF Industries,Materials,cap,Country,IPO,Year,Sector,Industry
CRL,Charles River,Health Care,cap,Country,IPO,Year,Sector,Industry
SCHW,Charles Schwab,Financials,cap,Country,IPO,Year,Sector,Industry
CHTR,Charter Communications,Communication Services,cap,Country,IPO,Year,Sector,Industry
CVX,Chevron,Energy,cap,Country,IPO,Year,Sector,Industry
CMG,Chipotle Mexican Grill,Consumer Discretionary,cap,Country,IPO,Year,Sector,Industry
CB,Chubb,Financials,cap,Country,IPO,Year,Sector,Industry
CHD,Church & Dwight,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CI,Cigna,Health Care,cap,Country,IPO,Year,Sector,Industry
CINF,Cincinnati Financial,Financials,cap,Country,IPO,Year,Sector,Industry
CTAS,Cintas,Industrials,cap,Country,IPO,Year,Sector,Industry
CSCO,Cisco,Information Technology,cap,Country,IPO,Year,Sector,Industry
C,Citigroup,Financials,cap,Country,IPO,Year,Sector,Industry
CFG,Citizens,Financials,cap,Country,IPO,Year,Sector,Industry
CTXS,Citrix,Information Technology,cap,Country,IPO,Year,Sector,Industry
CLX,Clorox,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CME,CME Group,Financials,cap,Country,IPO,Year,Sector,Industry
CMS,CMS Energy,Utilities,cap,Country,IPO,Year,Sector,Industry
KO,Coca-Cola,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CTSH,Cognizant,Information Technology,cap,Country,IPO,Year,Sector,Industry
CL,Colgate-Palmolive,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
CMCSA,Comcast,Communication Services,cap,Country,IPO,Year,Sector,Industry
CMA,Comerica,Financials,cap,Country,IPO,Year,Sector,Industry
ED,Con Edison,Utilities,cap,Country,IPO,Year,Sector,Industry
CAG,Conagra Brands,Consumer Staples,cap,Country,IPO,Year,Sector,Industry
COP,ConocoPhillips,Energy,cap,Country,IPO,Year,Sector,Industry
